,mean,std,min,max,policy,history
132,1221.1813055094708,,1221.1813055094708,1221.1813055094708,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
133,1315.7052759502699,,1315.7052759502699,1315.7052759502699,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
134,1274.8647056234065,,1274.8647056234065,1274.8647056234065,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
135,1293.291752821557,,1293.291752821557,1293.291752821557,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
136,1107.4936609058618,,1107.4936609058618,1107.4936609058618,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu
137,1468.8739728776845,,1468.8739728776845,1468.8739728776845,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
138,1354.5121627481594,,1354.5121627481594,1354.5121627481594,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
139,1318.5291829635773,,1318.5291829635773,1318.5291829635773,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
140,1285.4111331983565,,1285.4111331983565,1285.4111331983565,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
141,1334.621164055815,,1334.621164055815,1334.621164055815,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
142,1274.042727261746,,1274.042727261746,1274.042727261746,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
143,1320.5168826354502,,1320.5168826354502,1320.5168826354502,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
144,1300.4571633289486,,1300.4571633289486,1300.4571633289486,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
145,1288.543010492808,,1288.543010492808,1288.543010492808,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
146,1260.7610660976345,,1260.7610660976345,1260.7610660976345,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
147,1336.9240374763754,,1336.9240374763754,1336.9240374763754,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
148,1309.259163735272,,1309.259163735272,1309.259163735272,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
149,1327.0731669989505,,1327.0731669989505,1327.0731669989505,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
150,1310.0480863502125,,1310.0480863502125,1310.0480863502125,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
151,1317.267425346416,,1317.267425346416,1317.267425346416,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
152,1300.588915515268,,1300.588915515268,1300.588915515268,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
153,1328.8857453588225,,1328.8857453588225,1328.8857453588225,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
154,1306.5985090423635,,1306.5985090423635,1306.5985090423635,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
155,1355.5098789150811,,1355.5098789150811,1355.5098789150811,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
156,1338.0937377447467,,1338.0937377447467,1338.0937377447467,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
157,1313.485258610751,,1313.485258610751,1313.485258610751,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
158,1157.404625914185,,1157.404625914185,1157.404625914185,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu
159,1467.993578604449,,1467.993578604449,1467.993578604449,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
160,1177.3113116811846,,1177.3113116811846,1177.3113116811846,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu
161,1420.1981756927935,,1420.1981756927935,1420.1981756927935,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
162,1362.903768861182,,1362.903768861182,1362.903768861182,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
163,1374.2441434054504,,1374.2441434054504,1374.2441434054504,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
164,1306.3401059580235,,1306.3401059580235,1306.3401059580235,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
165,1388.767375134624,,1388.767375134624,1388.767375134624,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
166,1330.9474626158935,,1330.9474626158935,1330.9474626158935,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
167,1317.8793851987316,,1317.8793851987316,1317.8793851987316,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
168,1333.6107063469196,,1333.6107063469196,1333.6107063469196,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
169,1307.034939847495,,1307.034939847495,1307.034939847495,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
170,1378.623196930297,,1378.623196930297,1378.623196930297,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
