,pc_100,pc_100,pc_100,pc_100,pc_100,pc_100,pc_95,pc_95,pc_95,pc_95,pc_95,pc_95,pc_90,pc_90,pc_90,pc_90,pc_90,pc_90,pc_85,pc_85,pc_85,pc_85,pc_85,pc_85,pc_80,pc_80,pc_80,pc_80,pc_80,pc_80,pc_75,pc_75,pc_75,pc_75,pc_75,pc_75,pc_70,pc_70,pc_70,pc_70,pc_70,pc_70,pc_65,pc_65,pc_65,pc_65,pc_65,pc_65,pc_60,pc_60,pc_60,pc_60,pc_60,pc_60,history,history,history,history,history,history
,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded
50,216,216,360,0,0,0,222,222,370,35,35,0,294,294,490,215,215,0,270,270,450,340,0,340,540,540,900,860,860,0,606,606,1010,1165,1165,0,552,552,920,1500,1500,0,705,705,1175,1670,0,1670,480,480,800,1960,1960,0,1998,1998,7890,2787,203,167
51,216,216,360,0,0,0,192,192,320,40,0,40,276,276,460,140,0,140,360,360,600,370,370,0,369,369,615,535,0,535,552,552,920,1160,1160,0,666,666,1110,1390,0,1390,480,480,800,1780,1780,0,744,744,1240,2225,0,2225,1998,1998,7890,2787,203,167
52,216,216,360,0,0,0,198,198,330,50,0,50,264,264,440,175,175,0,291,291,485,325,0,325,426,426,710,495,0,495,573,573,955,995,0,995,462,462,770,1485,1485,0,744,744,1240,1745,0,1745,690,690,1150,2125,0,2125,1998,1998,7890,2787,203,167
53,216,216,360,0,0,0,198,198,330,55,0,55,228,228,380,135,0,135,396,396,660,445,445,0,504,504,840,705,705,0,576,576,960,1130,1130,0,624,624,1040,1300,0,1300,762,762,1270,1610,0,1610,774,774,1290,2190,0,2190,1998,1998,7890,2787,203,167
54,216,216,360,0,0,0,216,216,360,55,55,0,288,288,480,190,190,0,450,450,750,475,475,0,504,504,840,800,800,0,528,528,880,1160,1160,0,582,582,970,1430,1430,0,672,672,1120,1805,0,1805,408,408,680,1965,1965,0,1998,1998,7890,2787,203,167
55,216,216,360,0,0,0,216,216,360,40,0,40,300,300,500,205,205,0,426,426,710,420,420,0,435,435,725,570,0,570,540,540,900,905,0,905,651,651,1085,1300,0,1300,663,663,1105,1750,0,1750,426,426,710,1970,1970,0,1998,1998,7890,2787,203,167
56,216,216,360,0,0,0,240,240,400,45,45,0,240,240,400,185,0,185,432,432,720,405,405,0,375,375,625,605,0,605,501,501,835,945,0,945,462,462,770,1530,1530,0,498,498,830,1790,1790,0,462,462,770,1970,1970,0,1998,1998,7890,2787,203,167
57,216,216,360,0,0,0,222,222,370,5,0,5,300,300,500,200,200,0,255,255,425,345,0,345,417,417,695,525,0,525,534,534,890,945,0,945,486,486,810,1460,1460,0,714,714,1190,1770,0,1770,390,390,650,2045,2045,0,1998,1998,7890,2787,203,167
58,216,216,360,0,0,0,228,228,380,30,30,0,255,255,425,155,0,155,432,432,720,440,440,0,399,399,665,570,0,570,546,546,910,990,990,0,651,651,1085,1280,0,1280,729,729,1215,1800,0,1800,696,696,1160,2235,0,2235,1998,1998,7890,2787,203,167
59,216,216,360,0,0,0,234,234,390,55,55,0,288,288,480,185,185,0,267,267,445,340,0,340,546,546,910,750,750,0,498,498,830,885,0,885,702,702,1170,1320,0,1320,534,534,890,1760,1760,0,444,444,740,1920,1920,0,1998,1998,7890,2787,203,167
60,216,216,360,0,0,0,210,210,350,45,0,45,222,222,370,195,0,195,360,360,600,460,460,0,546,546,910,755,755,0,570,570,950,1095,1095,0,717,717,1195,1375,0,1375,432,432,720,1790,1790,0,741,741,1235,2110,0,2110,1998,1998,7890,2787,203,167
61,216,216,360,0,0,0,216,216,360,45,0,45,240,240,400,155,0,155,390,390,650,430,430,0,399,399,665,540,0,540,576,576,960,1155,1155,0,717,717,1195,1205,0,1205,687,687,1145,1620,0,1620,780,780,1300,2200,0,2200,1998,1998,7890,2787,203,167
62,216,216,360,0,0,0,222,222,370,30,0,30,222,222,370,120,0,120,306,306,510,265,0,265,384,384,640,650,0,650,540,540,900,920,0,920,678,678,1130,1320,0,1320,468,468,780,1820,1820,0,702,702,1170,2210,0,2210,1998,1998,7890,2787,203,167
63,216,216,360,0,0,0,228,228,380,45,45,0,234,234,390,145,0,145,288,288,480,245,0,245,522,522,870,800,800,0,528,528,880,1170,1170,0,642,642,1070,1255,0,1255,516,516,860,1725,1725,0,732,732,1220,2190,0,2190,1998,1998,7890,2787,203,167
64,216,216,360,0,0,0,222,222,370,45,45,0,318,318,530,230,230,0,303,303,505,345,0,345,363,363,605,580,0,580,522,522,870,1070,1070,0,528,528,880,1455,1455,0,570,570,950,1670,1670,0,426,426,710,2065,2065,0,1998,1998,7890,2787,203,167
65,216,216,360,0,0,0,228,228,380,25,25,0,330,330,550,220,220,0,414,414,690,420,420,0,399,399,665,575,0,575,537,537,895,970,0,970,516,516,860,1480,1480,0,462,462,770,1745,1745,0,402,402,670,2015,2015,0,1998,1998,7890,2787,203,167
66,216,216,360,0,0,0,240,240,400,45,45,0,246,246,410,175,0,175,291,291,485,335,0,335,546,546,910,815,815,0,510,510,850,1140,1140,0,600,600,1000,1375,0,1375,732,732,1220,1665,0,1665,762,762,1270,2270,0,2270,1998,1998,7890,2787,203,167
67,216,216,360,0,0,0,216,216,360,40,0,40,300,300,500,210,210,0,273,273,455,335,0,335,396,396,660,555,0,555,564,564,940,1095,1095,0,633,633,1055,1215,0,1215,783,783,1305,1700,0,1700,480,480,800,1985,1985,0,1998,1998,7890,2787,203,167
68,216,216,360,0,0,0,222,222,370,45,0,45,246,246,410,165,165,0,456,456,760,490,490,0,486,486,810,825,825,0,531,531,885,940,0,940,486,486,810,1495,1495,0,462,462,770,1680,1680,0,660,660,1100,2135,0,2135,1998,1998,7890,2787,203,167
69,216,216,360,0,0,0,210,210,350,50,0,50,324,324,540,200,200,0,321,321,535,300,0,300,402,402,670,535,0,535,516,516,860,1190,1190,0,588,588,980,1300,0,1300,783,783,1305,1770,0,1770,462,462,770,2060,2060,0,1998,1998,7890,2787,203,167
70,216,216,360,0,0,0,210,210,350,40,0,40,216,216,360,90,0,90,267,267,445,330,0,330,504,504,840,820,820,0,552,552,920,1060,1060,0,642,642,1070,1410,0,1410,540,540,900,1775,1775,0,540,540,900,1930,1930,0,1998,1998,7890,2787,203,167
71,216,216,360,0,0,0,204,204,340,30,0,30,276,276,460,185,185,0,309,309,515,290,0,290,471,471,785,565,0,565,558,558,930,1150,1150,0,552,552,920,1530,1530,0,687,687,1145,1670,0,1670,474,474,790,1985,1985,0,1998,1998,7890,2787,203,167
72,216,216,360,0,0,0,210,210,350,45,0,45,234,234,390,120,0,120,432,432,720,470,470,0,393,393,655,575,0,575,594,594,990,1125,1125,0,564,564,940,1470,1470,0,540,540,900,1820,1820,0,396,396,660,2055,2055,0,1998,1998,7890,2787,203,167
73,216,216,360,0,0,0,234,234,390,50,50,0,198,198,330,180,0,180,303,303,505,330,0,330,588,588,980,845,845,0,540,540,900,1175,1175,0,528,528,880,1465,1465,0,522,522,870,1780,1780,0,798,798,1330,2150,0,2150,1998,1998,7890,2787,203,167
74,216,216,360,0,0,0,198,198,330,35,0,35,318,318,530,170,170,0,438,438,730,465,465,0,435,435,725,575,0,575,564,564,940,1160,1160,0,534,534,890,1480,1480,0,738,738,1230,1660,0,1660,795,795,1325,2220,0,2220,1998,1998,7890,2787,203,167
75,216,216,360,0,0,0,246,246,410,50,50,0,300,300,500,205,205,0,285,285,475,300,0,300,399,399,665,575,0,575,573,573,955,880,0,880,609,609,1015,1275,0,1275,510,510,850,1805,1805,0,444,444,740,2000,2000,0,1998,1998,7890,2787,203,167
76,216,216,360,0,0,0,222,222,370,30,0,30,243,243,405,140,0,140,324,324,540,285,0,285,534,534,890,850,850,0,582,582,970,850,0,850,693,693,1155,1215,0,1215,486,486,810,1745,1745,0,792,792,1320,2180,0,2180,1998,1998,7890,2787,203,167
77,216,216,360,0,0,0,216,216,360,35,0,35,300,300,500,175,175,0,396,396,660,470,470,0,339,339,565,535,0,535,540,540,900,1115,1115,0,621,621,1035,1290,0,1290,687,687,1145,1630,0,1630,744,744,1240,2210,0,2210,1998,1998,7890,2787,203,167
78,216,216,360,0,0,0,216,216,360,35,35,0,300,300,500,205,205,0,372,372,620,500,500,0,393,393,655,570,0,570,561,561,935,935,0,935,504,504,840,1455,1455,0,450,450,750,1770,1770,0,408,408,680,1985,1985,0,1998,1998,7890,2787,203,167
79,216,216,360,0,0,0,216,216,360,40,40,0,288,288,480,195,195,0,444,444,740,460,460,0,534,534,890,710,710,0,612,612,1020,1135,1135,0,624,624,1040,1370,0,1370,687,687,1145,1760,0,1760,726,726,1210,2165,0,2165,1998,1998,7890,2787,203,167
80,216,216,360,0,0,0,204,204,340,15,0,15,324,324,540,230,230,0,390,390,650,410,410,0,480,480,800,765,765,0,540,540,900,910,0,910,711,711,1185,1310,0,1310,696,696,1160,1770,0,1770,390,390,650,2015,2015,0,1998,1998,7890,2787,203,167
81,216,216,360,0,0,0,204,204,340,30,0,30,318,318,530,200,200,0,285,285,475,310,0,310,558,558,930,745,745,0,528,528,880,1070,1070,0,546,546,910,1515,1515,0,684,684,1140,1745,0,1745,432,432,720,2010,2010,0,1998,1998,7890,2787,203,167
